Date,Product,Category,Sales,Quantity
2023-01-15,Laptop XPS 13,Electronics,1299.99,1
2023-01-22,Wireless Headphones,Electronics,149.99,2
2023-01-30,Coffee Maker,Home Appliances,89.95,1
2023-02-05,Smartphone Galaxy S21,Electronics,899.99,1
2023-02-12,Winter Jacket,Clothing,129.50,1
2023-02-20,Running Shoes,Clothing,95.00,1
2023-02-28,Blender Pro,Home Appliances,79.99,1
2023-03-10,USB-C Cable Pack,Electronics,19.99,3
2023-03-15,Smart Watch,Electronics,249.99,1
2023-03-22,Yoga Mat,Sports & Outdoors,35.50,2
2023-03-30,Desk Lamp,Home Decor,45.75,1
2023-04-05,Water Bottle,Sports & Outdoors,24.95,2
2023-04-12,Bluetooth Speaker,Electronics,89.99,1
2023-04-20,T-shirt,Clothing,19.99,3
2023-04-28,Toaster,Home Appliances,49.95,1
2023-05-05,Backpack,Accessories,65.00,1
2023-05-15,Monitor 27-inch,Electronics,299.99,1
2023-05-22,Sunglasses,Accessories,129.95,1
2023-05-30,Fitness Tracker,Electronics,79.99,1
2023-06-08,Denim Jeans,Clothing,59.99,2
